provincie,week,aantal,week_volgnr
Groningen,2020-16,0,16
Friesland,2020-16,0,16
Drenthe,2020-16,0,16
Overijssel,2020-16,4,16
Flevoland,2020-16,1,16
Gelderland,2020-16,11,16
Utrecht,2020-16,4,16
Noord-Holland,2020-16,10,16
Zuid-Holland,2020-16,15,16
Zeeland,2020-16,1,16
Noord-Brabant,2020-16,17,16
Limburg,2020-16,1,16
Groningen,2020-17,5,17
Friesland,2020-17,4,17
Drenthe,2020-17,0,17
Overijssel,2020-17,5,17
Flevoland,2020-17,4,17
Gelderland,2020-17,12,17
Utrecht,2020-17,9,17
Noord-Holland,2020-17,32,17
Zuid-Holland,2020-17,14,17
Zeeland,2020-17,1,17
Noord-Brabant,2020-17,9,17
Limburg,2020-17,16,17
Groningen,2020-18,5,18
Friesland,2020-18,2,18
Drenthe,2020-18,1,18
Overijssel,2020-18,0,18
Flevoland,2020-18,2,18
Gelderland,2020-18,9,18
Utrecht,2020-18,4,18
Noord-Holland,2020-18,21,18
Zuid-Holland,2020-18,21,18
Zeeland,2020-18,0,18
Noord-Brabant,2020-18,12,18
Limburg,2020-18,3,18
Groningen,2020-19,0,19
Friesland,2020-19,0,19
Drenthe,2020-19,0,19
Overijssel,2020-19,3,19
Flevoland,2020-19,5,19
Gelderland,2020-19,10,19
Utrecht,2020-19,4,19
Noord-Holland,2020-19,10,19
Zuid-Holland,2020-19,14,19
Zeeland,2020-19,0,19
Noord-Brabant,2020-19,6,19
Limburg,2020-19,6,19
Groningen,2020-20,6,20
Friesland,2020-20,1,20
Drenthe,2020-20,0,20
Overijssel,2020-20,5,20
Flevoland,2020-20,1,20
Gelderland,2020-20,7,20
Utrecht,2020-20,8,20
Noord-Holland,2020-20,19,20
Zuid-Holland,2020-20,21,20
Zeeland,2020-20,3,20
Noord-Brabant,2020-20,17,20
Limburg,2020-20,4,20
Groningen,2020-21,3,21
Friesland,2020-21,7,21
Drenthe,2020-21,3,21
Overijssel,2020-21,3,21
Flevoland,2020-21,1,21
Gelderland,2020-21,10,21
Utrecht,2020-21,3,21
Noord-Holland,2020-21,11,21
Zuid-Holland,2020-21,19,21
Zeeland,2020-21,0,21
Noord-Brabant,2020-21,22,21
Limburg,2020-21,2,21
Groningen,2020-22,7,22
Friesland,2020-22,5,22
Drenthe,2020-22,1,22
Overijssel,2020-22,6,22
Flevoland,2020-22,5,22
Gelderland,2020-22,13,22
Utrecht,2020-22,7,22
Noord-Holland,2020-22,17,22
Zuid-Holland,2020-22,8,22
Zeeland,2020-22,1,22
Noord-Brabant,2020-22,5,22
Limburg,2020-22,4,22
Groningen,2020-23,4,23
Friesland,2020-23,4,23
Drenthe,2020-23,2,23
Overijssel,2020-23,3,23
Flevoland,2020-23,0,23
Gelderland,2020-23,6,23
Utrecht,2020-23,5,23
Noord-Holland,2020-23,14,23
Zuid-Holland,2020-23,18,23
Zeeland,2020-23,1,23
Noord-Brabant,2020-23,7,23
Limburg,2020-23,8,23
Groningen,2020-24,2,24
Friesland,2020-24,3,24
Drenthe,2020-24,2,24
Overijssel,2020-24,1,24
Flevoland,2020-24,0,24
Gelderland,2020-24,6,24
Utrecht,2020-24,9,24
Noord-Holland,2020-24,14,24
Zuid-Holland,2020-24,15,24
Zeeland,2020-24,1,24
Noord-Brabant,2020-24,6,24
Limburg,2020-24,1,24
Groningen,2020-25,1,25
Friesland,2020-25,3,25
Drenthe,2020-25,3,25
Overijssel,2020-25,10,25
Flevoland,2020-25,1,25
Gelderland,2020-25,12,25
Utrecht,2020-25,2,25
Noord-Holland,2020-25,13,25
Zuid-Holland,2020-25,22,25
Zeeland,2020-25,1,25
Noord-Brabant,2020-25,15,25
Limburg,2020-25,3,25
Groningen,2020-26,0,26
Friesland,2020-26,0,26
Drenthe,2020-26,0,26
Overijssel,2020-26,4,26
Flevoland,2020-26,1,26
Gelderland,2020-26,5,26
Utrecht,2020-26,0,26
Noord-Holland,2020-26,6,26
Zuid-Holland,2020-26,5,26
Zeeland,2020-26,1,26
Noord-Brabant,2020-26,6,26
Limburg,2020-26,3,26
Groningen,2020-27,2,27
Friesland,2020-27,0,27
Drenthe,2020-27,3,27
Overijssel,2020-27,3,27
Flevoland,2020-27,0,27
Gelderland,2020-27,11,27
Utrecht,2020-27,3,27
Noord-Holland,2020-27,15,27
Zuid-Holland,2020-27,9,27
Zeeland,2020-27,5,27
Noord-Brabant,2020-27,8,27
Limburg,2020-27,6,27
Groningen,2020-28,3,28
Friesland,2020-28,2,28
Drenthe,2020-28,0,28
Overijssel,2020-28,1,28
Flevoland,2020-28,2,28
Gelderland,2020-28,6,28
Utrecht,2020-28,8,28
Noord-Holland,2020-28,10,28
Zuid-Holland,2020-28,13,28
Zeeland,2020-28,1,28
Noord-Brabant,2020-28,17,28
Limburg,2020-28,1,28
Groningen,2020-29,2,29
Friesland,2020-29,3,29
Drenthe,2020-29,2,29
Overijssel,2020-29,2,29
Flevoland,2020-29,4,29
Gelderland,2020-29,6,29
Utrecht,2020-29,0,29
Noord-Holland,2020-29,11,29
Zuid-Holland,2020-29,16,29
Zeeland,2020-29,1,29
Noord-Brabant,2020-29,8,29
Limburg,2020-29,0,29
Groningen,2020-30,1,30
Friesland,2020-30,2,30
Drenthe,2020-30,0,30
Overijssel,2020-30,3,30
Flevoland,2020-30,2,30
Gelderland,2020-30,4,30
Utrecht,2020-30,3,30
Noord-Holland,2020-30,8,30
Zuid-Holland,2020-30,7,30
Zeeland,2020-30,0,30
Noord-Brabant,2020-30,4,30
Limburg,2020-30,4,30
Groningen,2020-31,0,31
Friesland,2020-31,3,31
Drenthe,2020-31,4,31
Overijssel,2020-31,1,31
Flevoland,2020-31,2,31
Gelderland,2020-31,3,31
Utrecht,2020-31,5,31
Noord-Holland,2020-31,14,31
